foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Bezos Family Foundation,2023,ANEW,128500,General Support,Tukwila,WA,pdf:912073258_202312
Bezos Family Foundation,2023,ANEW,130000,General Support,Tukwila,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Abriendo Puertas/ Opening Doors,256,General Support,San Francisco,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Abriendo Puertas/ Opening Doors,346995,General Support,San Francisco,CA,pdf:912073258_202312
Bezos Family Foundation,2023,"Advocates for Children of New York, Inc.",150000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,African Leadership Academy,2000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,African Leadership Academy,608352,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Aliento Education Fund,100000,General Support,Phoenix,AZ,pdf:912073258_202312
Bezos Family Foundation,2023,Amara,211000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,American Friends of IDC,426438,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Anti-Defamation League,183,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Anti-Defamation League,247853,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Arizona Latino Leaders in Education,65000,General Support,Phoenix,AZ,pdf:912073258_202312
Bezos Family Foundation,2023,"Array Education, Inc.",253777,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,BUILD,3588,General Support,Redwood City,CA,pdf:912073258_202312
Bezos Family Foundation,2023,BUILD,327715,General Support,Redwood City,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Barbershop Books,50000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Brazelton Touchpoints Foundation,100000,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Brazelton Touchpoints Foundation,75000,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Building Beats,100000,General Support,Brooklyn,NY,pdf:912073258_202312
Bezos Family Foundation,2023,CAMFED USA Foundation,988080,General Support,San Jose,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Campaign for Grade-Level Reading,333333,General Support,Mount Laurel,NJ,pdf:912073258_202312
