foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Charles and Lynn Schusterman Family Foundation,2021,"CHARLES AND LYNN SCHUSTERMAN FAMILY FOUNDATION CHARITABLE CONTRIBUTIONS YEAR END DEC 31, 2021 FEIN 73-1312965 PART XV LIN 3(A) PAYEE LEGAL NAME PAYEE ADDRESS",250000,GENERAL OPERATING WITH ADDITIONAL SUPPORT FOR PROGRAMMING AND SCHOLAR RECRUITMENT,AVE COLLEGE PARK,GA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,5 STRONG SCHOLARSHIP FOUNDATION INC,2200,SCHOLARSHIP FUND FOLLOW UP,AVE COLLEGE PARK,GA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,92ND STREET Y AKA YOUNG MEN'S & YOUNG WOMEN'S HEBREW ASSOCIATION,2500,GENERAL OPERATING SUPPORT,AVE NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"A BETTER CHILDHOOD, INC.",750000,ANONYMOUS,NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,A POCKET FULL OF HOPE INC,150000,BIG 10 BALLROOM RENOVATION,APACHE ST TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,A POCKET FULL OF HOPE INC,15000,GENERAL OPERATING SUPPORT,APACHE ST TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,A WIDER BRIDGE,250000,GENERAL OPERATING SUPPORT AND VIRTUAL PROGRAMMING,SAN FRANCISCO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ACCESS REPRODUCTIVE CARE- SOUTHEAST PO BOX 7354 ATLANTA,400000,GENERAL OPERATING SUPPORT,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ACHIEVEMENT FIRST,500000,CONTINUED SUPPORT FOR ACCELERATE,NEW HAVEN,CT,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,ACHIEVEMENT NETWORK ONE BEACON STREET BOSTON,3000000,GENERAL OPERATING SUPPORT,,,char500:731312965_2021
