foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Howard G. Buffett Foundation,2024,African Parks Foundation of America,600000,Rhino Protection Akagera Park - Rwanda,New York,NY,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Alight,50751,Farmerhood Program - Ukraine,Minneapolis,MN,pdf:470824756_202412
Howard G. Buffett Foundation,2024,American Enterprise Institute,332953,Education and Research - Ukraine,Washington,DC,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Applied Research Center,1240361,Cross-Border Trafficking Intervention Program - US,Laramie,WY,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Bridgeway Foundation,32948302,ISCAP Defection and DDR Campaign - Democratic Republic of Congo,Houston,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Center for Rural Affairs,350000,Rural Cooperative Grocery Support Program - US,Lyons,NE,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Center for Strategic and International Studies,1195792,Program Support for Analyisis and Education on the Study of War - Ukraine,Washington,DC,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Center for Strategic and International Studies,232681,International Representation Project - Ukraine,Washington,DC,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Center to Combat Human Trafficking,100000,General Support - US,Decatur,IL,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Chico State Enterprises/California State University,70301,Agriculture Research for Smallholder Farmers - US,Chico,CA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Cochise County Sheriff's Assist Team (SAT),22500,Community Support - US,Sierra Vista,AZ,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Colombian Relief Fund,1249864,Catatumbo School- Colombia,New York,NY,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,488957,Demining Equipment - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,2069480,UZ Food Train Operations - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,20400000,Humanitarian Infrastructure - Ukraine,Castroville,TX,pdf:470824756_202412
