foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Wyss Foundation,2022,BALANCE A BETTER,215000,CHARITABLE CONTRIBUTION,YORK NEW,NY,pdf:251823874_202212
Wyss Foundation,2022,ADVOCATES FOR YOUTH,400000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,AFRICAN PARKS FOUNDATION OF AMERICA,14331930,CHARITABLE CONTRIBUTION,YORK NEW,NY,pdf:251823874_202212
Wyss Foundation,2022,AMERICANS FOR FINANCIAL REFORM EDUCATION FUND,1272000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,ARGENTINAS ASOCIACION ORNITOLOGICA DEL AVES PLATA,888500,CHARITABLE CONTRIBUTION,CIUDAD AUTONOMA DE BUENOS AIRES BUENOS,,pdf:251823874_202212
Wyss Foundation,2022,PHILHARMONIC ORCHESTRA BOSTON,300000,CHARITABLE CONTRIBUTION,BOSTON,MA,pdf:251823874_202212
Wyss Foundation,2022,CALIFORNIA WILDERNESS COALITION,60000,CHARITABLE CONTRIBUTION,OAKLAND,CA,pdf:251823874_202212
Wyss Foundation,2022,SONNENHOF CAMPUS SLB AG,269860,CHARITABLE CONTRIBUTION,BERN BERN,,pdf:251823874_202212
Wyss Foundation,2022,CANADIAN PARKS AND WILDERNESS SOCIETY,400000,CHARITABLE CONTRIBUTION,OTTAWA,ON,pdf:251823874_202212
Wyss Foundation,2022,"FOR ADVANCED DEFENSE STUDIES, CENTER INC.",250000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,RESPONSIBLE LENDING CENTER FOR,1300000,CHARITABLE CONTRIBUTION,DURHAM,NC,pdf:251823874_202212
Wyss Foundation,2022,BUDGET AND POLICY PRIORITIES CENTER ON,3000000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,CHILDREN'S HOSPITAL ANGELES LOS,1000000,CHARITABLE CONTRIBUTION,ANGELES LOS,CA,pdf:251823874_202212
Wyss Foundation,2022,COMMUNITY CATALYST,1925100,CHARITABLE CONTRIBUTION,BOSTON,MA,pdf:251823874_202212
Wyss Foundation,2022,COMMUNITY FOUNDATION OF JACKSON HOLE,250000,CHARITABLE CONTRIBUTION,JACKSON,WY,pdf:251823874_202212
Wyss Foundation,2022,CONSERVATION COLORADO EDUCATION FUND,112500,CHARITABLE CONTRIBUTION,DENVER,,pdf:251823874_202212
Wyss Foundation,2022,CONSERVATION LANDS FOUNDATION,1725000,CHARITABLE CONTRIBUTION,DURANGO,,pdf:251823874_202212
Wyss Foundation,2022,CONSTITUTIONAL ACCOUNTABILITY CENTER,100000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,CONTINENTAL DIVIDE TRAIL COALITION,60000,CHARITABLE CONTRIBUTION,GOLDEN,,pdf:251823874_202212
Wyss Foundation,2022,DEMOS,550000,CHARITABLE CONTRIBUTION,YORK NEW,NY,pdf:251823874_202212
Wyss Foundation,2022,DUCKS UNLIMITED,435000,CHARITABLE CONTRIBUTION,RANCHO CORDOVA,CA,pdf:251823874_202212
Wyss Foundation,2022,ECOFLIGHT,37500,CHARITABLE CONTRIBUTION,ASPEN,,pdf:251823874_202212
Wyss Foundation,2022,ECOLOGY ACTION CENTRE,100000,CHARITABLE CONTRIBUTION,HALIFAX NOVA,,pdf:251823874_202212
Wyss Foundation,2022,SCHOOL OF OUTDOOR EDUCATION FOUR CORNERS,25000,CHARITABLE CONTRIBUTION,MONTICELLO,UT,pdf:251823874_202212
Wyss Foundation,2022,FRANKFURT ZOOLOGICAL SOCIETY US. INC. -,2900000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,FRIENDS OF ISLAND COCOS,250000,CHARITABLE CONTRIBUTION,BARRIO ESCALANTE SAN,,pdf:251823874_202212
Wyss Foundation,2022,FRIENDS OF THE AUSTRALIAN BUSH HERITAGE FUND,150000,CHARITABLE CONTRIBUTION,FORT BRAGG,CA,pdf:251823874_202212
Wyss Foundation,2022,FUNDATION REWILDING ARGENTINA,222000,CHARITABLE CONTRIBUTION,ACASSUSO BUENOS,,pdf:251823874_202212
Wyss Foundation,2022,UNIVERSITY GEORGETOWN,1000000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,GLACIER MEDICINE ALLIANCE TWO -,60000,CHARITABLE CONTRIBUTION,GLACIER PARK EAST,MT,pdf:251823874_202212
Wyss Foundation,2022,GRAND CANYON TRUST,1000000,CHARITABLE CONTRIBUTION,FLAGSTAFF,AZ,pdf:251823874_202212
Wyss Foundation,2022,HISPANIC FOUNDATION ACCESS,60000,CHARITABLE CONTRIBUTION,WASHINGTON,DC,pdf:251823874_202212
Wyss Foundation,2022,IDAHO CONSERVATION LEAGUE INC.,100000,CHARITABLE CONTRIBUTION,BOISE,ID,pdf:251823874_202212
